,설립구분,지역,학교명,기준연도,출생년도,학년,구분,학생수
827344,공립,충청북도 단양군,가곡초등학교,2017,09,2학년,ttl,5
908478,공립,충청북도 단양군,가곡초등학교,2016,09,1학년,in,0
914697,공립,충청북도 단양군,가곡초등학교,2016,09,1학년,out,1
920916,공립,충청북도 단양군,가곡초등학교,2016,09,1학년,ttl,6
325224,공립,충청북도 단양군,가곡초등학교,2022,10,6학년,in,0
331533,공립,충청북도 단양군,가곡초등학교,2022,10,6학년,out,0
337842,공립,충청북도 단양군,가곡초등학교,2022,10,6학년,ttl,4
419850,공립,충청북도 단양군,가곡초등학교,2021,10,5학년,in,0
426159,공립,충청북도 단양군,가곡초등학교,2021,10,5학년,out,0
432468,공립,충청북도 단양군,가곡초등학교,2021,10,5학년,ttl,5
514281,공립,충청북도 단양군,가곡초등학교,2020,10,4학년,in,0
520570,공립,충청북도 단양군,가곡초등학교,2020,10,4학년,out,1
526859,공립,충청북도 단양군,가곡초등학교,2020,10,4학년,ttl,4
608450,공립,충청북도 단양군,가곡초등학교,2019,10,3학년,in,1
614715,공립,충청북도 단양군,가곡초등학교,2019,10,3학년,out,0
620980,공립,충청북도 단양군,가곡초등학교,2019,10,3학년,ttl,4
702363,공립,충청북도 단양군,가곡초등학교,2018,10,2학년,in,0
708615,공립,충청북도 단양군,가곡초등학교,2018,10,2학년,out,0
714867,공립,충청북도 단양군,가곡초등학교,2018,10,2학년,ttl,4
796129,공립,충청북도 단양군,가곡초등학교,2017,10,1학년,in,0
802372,공립,충청북도 단양군,가곡초등학교,2017,10,1학년,out,0
808615,공립,충청북도 단양군,가곡초등학교,2017,10,1학년,ttl,4
211675,공립,충청북도 단양군,가곡초등학교,2023,11,6학년,in,0
217982,공립,충청북도 단양군,가곡초등학교,2023,11,6학년,out,1
224289,공립,충청북도 단양군,가곡초등학교,2023,11,6학년,ttl,3
306297,공립,충청북도 단양군,가곡초등학교,2022,11,5학년,in,0
312606,공립,충청북도 단양군,가곡초등학교,2022,11,5학년,out,0
318915,공립,충청북도 단양군,가곡초등학교,2022,11,5학년,ttl,4
400923,공립,충청북도 단양군,가곡초등학교,2021,11,4학년,in,0
407232,공립,충청북도 단양군,가곡초등학교,2021,11,4학년,out,0
413541,공립,충청북도 단양군,가곡초등학교,2021,11,4학년,ttl,4
495414,공립,충청북도 단양군,가곡초등학교,2020,11,3학년,in,1
501703,공립,충청북도 단양군,가곡초등학교,2020,11,3학년,out,0
507992,공립,충청북도 단양군,가곡초등학교,2020,11,3학년,ttl,3
589655,공립,충청북도 단양군,가곡초등학교,2019,11,2학년,in,0
595920,공립,충청북도 단양군,가곡초등학교,2019,11,2학년,out,0
602185,공립,충청북도 단양군,가곡초등학교,2019,11,2학년,ttl,3
683607,공립,충청북도 단양군,가곡초등학교,2018,11,1학년,in,0
689859,공립,충청북도 단양군,가곡초등학교,2018,11,1학년,out,0
696111,공립,충청북도 단양군,가곡초등학교,2018,11,1학년,ttl,3
98168,공립,충청북도 단양군,가곡초등학교,2024,12,6학년,in,2
104470,공립,충청북도 단양군,가곡초등학교,2024,12,6학년,out,0
110772,공립,충청북도 단양군,가곡초등학교,2024,12,6학년,ttl,6
192754,공립,충청북도 단양군,가곡초등학교,2023,12,5학년,in,2
199061,공립,충청북도 단양군,가곡초등학교,2023,12,5학년,out,0
205368,공립,충청북도 단양군,가곡초등학교,2023,12,5학년,ttl,4
