,학교명,학교도로명 주소,폐교여부,new위도,new경도
94,소이초등학교,충청북도 음성군 소이면 한불로 564,N,36.9152743,127.7546384
95,수봉초등학교,충청북도 음성군 음성읍 시장로126번길 19,N,36.9397346,127.6926326
96,쌍봉초등학교,충청북도 음성군 금왕읍 금일로371번길 58-17,N,37.0031232,127.5422453
97,오갑초등학교,충청북도 음성군 감곡면 가곡로 326-7,N,37.1122400,127.6768500
98,오선초등학교,충청북도 음성군 금왕읍 초금로752번길 17,N,36.9790436,127.5661311
99,용천초등학교,충청북도 음성군 금왕읍 덕금로 1204,N,36.9910537,127.5919963
100,원남초등학교,충청북도 음성군 원남면 보천로65번길 22,N,36.8787976,127.6538816
101,원당초등학교,충청북도 음성군 감곡면 음성로 2142,N,37.0741315,127.6157112
102,청룡초등학교,충청북도 음성군 삼성면 대청로 255-22,N,37.0004910,127.4724526
103,평곡초등학교,충청북도 음성군 음성읍 약현길 8,N,36.9290612,127.7011446
104,하당초등학교,충청북도 음성군 원남면 하초로 35-4,N,36.9069938,127.6791965
105,금성초등학교,충청북도 제천시 금성면 국사봉로 1615,N,37.0672521,128.1654492
106,남당초등학교,충청북도 제천시 청풍호로2길 4-5,N,37.1310490,128.2020000
107,남천초등학교,충청북도 제천시 풍양로21안길 25,N,37.1364068,128.2172683
108,동명초등학교,충청북도 제천시 원뜰로 35,N,37.1338170,128.1937512
109,두학초등학교,충청북도 제천시 의병대로 415,N,37.1343662,128.2447539
110,명지초등학교,충청북도 제천시 강명길 21,N,37.1188195,128.2054510
111,백운초등학교,충청북도 제천시 백운면 구학산로 45,N,37.1406990,128.0199704
112,봉양초등학교,충청북도 제천시 봉양읍 팔송로 59,N,37.1362759,128.1128597
113,송학초등학교,충청북도 제천시 송학면 시곡포전로 7,N,37.1853160,128.2621510
114,수산초등학교,충청북도 제천시 수산면 지곡로 12,N,36.9357166,128.1871454
115,신백초등학교,충청북도 제천시 관전로1길 28,N,37.1283139,128.2265759
116,왕미초등학교,충청북도 제천시 봉양읍 용두대로 575,N,37.1553547,128.1584050
117,용두초등학교,충청북도 제천시 용두대로21길 36,N,37.1437498,128.1969263
118,의림초등학교,충청북도 제천시 독순로 33,N,37.1416925,128.2071369
119,입석초등학교,충청북도 제천시 송학면 입석로3길 17,Y,37.1997477,128.2933088
120,제천덕산초등학교,충청북도 제천시 덕산면 약초로 133,N,36.9079190,128.1698827
121,제천중앙초등학교,충청북도 제천시 고암로 7,N,37.1530150,128.2152750
122,청풍초등학교,충청북도 제천시 청풍면 청풍호로 2194,N,36.9962441,128.1654172
123,한송초등학교,충청북도 제천시 한수면 미륵송계로6길 12,N,36.8831262,128.0799711
124,홍광초등학교,충청북도 제천시 의림대로44길 51,N,37.1646820,128.2159500
125,화당초등학교,충청북도 제천시 백운면 화당로 33,N,37.1690458,127.9871227
126,화산초등학교,충청북도 제천시 내토로41길 18,N,37.1298820,128.2134130
127,구정초등학교,충청북도 진천군 초평면 원댕이길 3,N,36.7808662,127.5351397
128,금구초등학교,충청북도 진천군 이월면 진광로 972-12,N,36.9451458,127.4301202
129,만승초등학교,충청북도 진천군 광혜원면 중리길 11,N,36.9923376,127.4420746
130,문백초등학교,충청북도 진천군 문백면 봉죽길 22,N,36.7862637,127.4331868
131,문상초등학교,충청북도 진천군 문백면 농다리로 1232,N,36.8378650,127.4721064
132,백곡초등학교,충청북도 진천군 백곡면 안구수길 20,N,36.8858957,127.3598852
133,상신초등학교,충청북도 진천군 이월면 신정길 15,Y,36.9242370,127.4664883
134,성암초등학교,충청북도 진천군 진천읍 금사로 359,N,36.8267011,127.4064798
135,옥동초등학교,충청북도 진천군 덕산읍 예지로 43,N,36.9033061,127.5291747
136,이월초등학교,충청북도 진천군 이월면 송림6길 26,N,36.9308467,127.4311395
137,진천삼수초등학교,충청북도 진천군 진천읍 중앙서3길 6,N,36.8560552,127.4412466
138,진천삼수초등학교매산분교장,충청북도 진천군 덕산읍 산삼로 46,Y,36.8858468,127.4817158
139,진천상산초등학교,충청북도 진천군 진천읍 상산로 35,N,36.8552386,127.4379969
140,초평초등학교,충청북도 진천군 초평면 초동로 143,N,36.8474768,127.5384660
141,학성초등학교,충청북도 진천군 이월면 진광로 398,N,36.8992288,127.4429426
142,한천초등학교,충청북도 진천군 덕산읍 초금로 687-2,N,36.9069381,127.5078140
143,가덕초등학교,충청북도 청주시 상당구 가덕면 단재로 1448,N,36.5779963,127.5785043
144,각리초등학교,충청북도 청주시 청원구 오창읍 오창중앙로 47-8,N,36.7065994,127.4237899
145,갈원초등학교,충청북도 청주시 서원구 남이면 저산척북로 375,N,36.5688580,127.3965630
146,강내초등학교,충청북도 청주시 흥덕구 강내면 태성탑연로 117,N,36.5971571,127.3568125
147,오송초등학교,충청북도 청주시 흥덕구 오송읍 오송2길 26,N,36.6131071,127.3255875
148,남이초등학교,충청북도 청주시 서원구 남이면 대련길 61,N,36.5770580,127.4543000
149,남일초등학교,충청북도 청주시 상당구 남일면 단재로 630,N,36.5759691,127.5102086
150,남일초등학교두산분교장,충청북도 청주시 상당구 남일면 두산길 53,Y,36.5575444,127.5404654
151,낭성초등학교,충청북도 청주시 상당구 낭성면 낭성시내길 5,N,36.6233991,127.6021348
152,내수초등학교,충청북도 청주시 청원구 내수읍 마산1길 114-1,N,36.7267491,127.5376845
