,학교명,위도,경도,학교도로명 주소,폐교여부
106,남당초등학교,37.131049,128.202,충청북도 제천시 청풍호로2길 4-5,N
107,남천초등학교,37.136957,128.2175,충청북도 제천시 풍양로21안길 25,N
108,동명초등학교,37.1336,128.194004,충청북도 제천시 원뜰로 35,N
109,두학초등학교,37.1343662,128.2447539,충청북도 제천시 의병대로 415,N
110,명지초등학교,37.1188282,128.2054568,충청북도 제천시 강명길 21,N
111,백운초등학교,37.140642,128.019942,충청북도 제천시 백운면 구학산로 45,N
112,봉양초등학교,37.1362759,128.1128597,충청북도 제천시 봉양읍 팔송로 59,N
113,송학초등학교,37.199758,128.293265,충청북도 제천시 송학면 시곡포전로 7,N
114,수산초등학교,36.9360899,128.1876179,충청북도 제천시 수산면 지곡로 12,N
115,신백초등학교,37.1,128.2,충청북도 제천시 관전로1길 28,N
116,왕미초등학교,37.1556,128.1584,충청북도 제천시 봉양읍 용두대로 575,N
117,용두초등학교,37.1437498,128.1969263,충청북도 제천시 용두대로21길 36,N
118,의림초등학교,37.141568,128.207457,충청북도 제천시 독순로 33,N
119,입석초등학교,37.1997477,128.2933088,충청북도 제천시 송학면 입석로3길 17,Y
120,제천덕산초등학교,36.9077316227,128.1700920202,충청북도 제천시 덕산면 약초로 133,N
121,제천중앙초등학교,37.15299,128.215308,충청북도 제천시 고암로 7,N
122,청풍초등학교,36.9962798309,128.1648108405,충청북도 제천시 청풍면 청풍호로 2194,N
123,한송초등학교,36.8831262,128.0799711,충청북도 제천시 한수면 미륵송계로6길 12,N
124,홍광초등학교,37.164682,128.21595,충청북도 제천시 의림대로44길 51,N
125,화당초등학교,37.168802,127.986888,충청북도 제천시 백운면 화당로 33,N
126,화산초등학교,37.129882,128.213413,충청북도 제천시 내토로41길 18,N
127,구정초등학교,36.7808663,127.5351397,충청북도 진천군 초평면 원댕이길 3,N
128,금구초등학교,36.9451452059,127.4307027984,충청북도 진천군 이월면 진광로 972-12,N
129,만승초등학교,36.991955,127.441979,충청북도 진천군 광혜원면 중리길 11,N
130,문백초등학교,36.7862637,127.4331868,충청북도 진천군 문백면 봉죽길 22,N
131,문상초등학교,36.83792129,127.471853694,충청북도 진천군 문백면 농다리로 1232,N
132,백곡초등학교,36.8858594,127.3598786,충청북도 진천군 백곡면 안구수길 20,N
133,상신초등학교,36.9236577,127.4666548,충청북도 진천군 이월면 신정길 15,Y
134,성암초등학교,36.826533,127.406459,충청북도 진천군 진천읍 금사로 359,N
135,옥동초등학교,36.9041768799,127.5303771367,충청북도 진천군 덕산읍 예지로 43,N
