,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,new위도,new경도
22,충북,관기초 소여분교장,1995,보은,초,미활용,보은군 마로면 소여리 470-1,36.4217394,127.8529980
219,충북,청산초 대월분교장,1995,옥천,초,대부,옥천군 청산면 대성리 173-1,36.3706650,127.8155535
220,충북,청산초 예곡분교,1995,옥천,초,매각,옥천군 청산면 예곡리 150,36.3562245,127.8314678
223,충북,청성초 신서분교,1995,옥천,초,매각,옥천군 청산면 신매리 667-1,36.3166625,127.7724975
232,충북,초강초 금호분교,1995,영동,초,매각,영동군 심천면 기호리 400,36.1826461,127.7056279
16,충북,감물초 이담분교장,1995,괴산증평,초,매각,괴산군 감물면 이담리 640,36.8675520,127.8700173
175,충북,어상천초 금당분교장,1995,단양,초,매각, 단양군 어상천면 심곡리 79,37.0569317,128.3834901
70,충북,동량초 하천분교장,1995,충주,초,대부,충주시 동량면 손동리 336,37.0196809,128.0289717
131,충북,선림초 도기분교장,1995,제천,초,매각,제천시 덕산면 도기리 340-2,36.8817405,128.2261232
106,충북,봉양초 명암분교장,1995,제천,초,매각,제천시 봉양읍 명암리 605-4,37.1862459,128.1307757
108,충북,봉양초 학전분교장,1995,제천,초,매각,제천시 봉양읍 옥전리 180,37.1733857,128.1055726
109,충북,부상초,1995,영동,초,매각,영동군 용산면 부상리 697-1,36.2592683,127.7690154
95,충북,백봉초 운곡분교장,1995,괴산증평,초,미활용,괴산군 청안면 운곡리 209-2,36.7431858,127.6986945
60,충북,대강초 황정분교장,1995,단양,초,매각, 단양군 대강면 황정리 194,36.8809524,128.3590146
86,충북,미봉초 구강분교장,1995,영동,초,매각,영동군 양강면 구강리 74,36.1548494,127.7030203
63,충북,덕산초 선림분교장,1995,제천,초,매각,제천시 덕산면 선고리 92-3,36.8941126,128.2035419
79,충북,무극초 사정분교장,1995,음성,초,대부,음성군 음성읍 사정리 949,36.9724528,127.6253673
101,충북,별방초 유암분교장,1995,단양,초,대부,단양군 영춘면  유암리 253,37.1462008,128.3919686
74,충북,만수초 공북분교장,1995,청주,초,매각, 청주시 흥덕구 오송읍 공북리 337,36.6459704,127.3142280
