지역,학교명,T_i (2025)
충청북도 청주시,수성초등학교,0.03798816177094961
충청북도 청주시,수성초등학교구성분교장,0.041666666666666664
충청북도 청주시,신송초등학교,0.0386002886002886
충청북도 청주시,오창초등학교,-0.02362786152987158
충청북도 청주시,옥산초등학교,-0.02582730659653737
충청북도 청주시,옥포초등학교,0.13012820512820514
충청북도 청주시,청원초등학교,0.02307248396494696
충청북도 청주시,행정초등학교,-0.024786324786324785
충청북도 청주시,현도초등학교,0.03333333333333333
충청북도 청주시,가경초등학교,-0.09239807307379737
충청북도 청주시,강서초등학교,0.014517037435454393
충청북도 청주시,개신초등학교,0.011978701938897794
충청북도 청주시,경덕초등학교,0.08705543496471811
충청북도 청주시,경산초등학교,0.037089733147519226
충청북도 청주시,교동초등학교,-0.012630292324348966
충청북도 청주시,금천초등학교,-0.004934020813246075
충청북도 청주시,남성초등학교,-0.004627096751635391
충청북도 청주시,남평초등학교,-0.002293096378857029
충청북도 청주시,청주내덕초등학교,-0.0017020360320005104
충청북도 청주시,청주대성초등학교,0.022006438991524657
충청북도 청주시,덕벌초등학교,-0.014184961733981344
충청북도 청주시,덕성초등학교,-0.029168871869908575
충청북도 청주시,동주초등학교,-0.010552976921503148
충청북도 청주시,모충초등학교,-0.05847736399582291
충청북도 청주시,복대초등학교,-1.417344724306993
충청북도 청주시,봉명초등학교,0.04105643002618666
충청북도 청주시,봉정초등학교,0.02601984720243911
충청북도 청주시,북일초등학교,-0.022751322751322748
충청북도 청주시,분평초등학교,0.03766434211588419
충청북도 청주시,사직초등학교,0.016982968369829685
충청북도 청주시,상당초등학교,0.03767521525301563
충청북도 청주시,새터초등학교,0.018328870655479997
충청북도 청주시,서원초등학교,-0.039793842522231705
충청북도 청주시,서촌초등학교,0.08711648158774092
충청북도 청주시,석교초등학교,-0.12507408620940733
충청북도 청주시,수곡초등학교,-0.033558008403319385
충청북도 청주시,용담초등학교,0.021406264485429132
충청북도 청주시,용담초등학교현양원분교장,0.017543859649122806
충청북도 청주시,용암초등학교,0.00618967280907156
충청북도 청주시,우암초등학교,0.010946261060555483
충청북도 청주시,운동초등학교,-0.2317193590997789
충청북도 청주시,운천초등학교,-0.017771438354896623
충청북도 청주시,원봉초등학교,0.001141838765149709
충청북도 청주시,원평초등학교,0.019610770844845738
충청북도 청주시,율량초등학교,-0.002313274729657372
충청북도 청주시,주성초등학교,-0.02062672885875029
충청북도 청주시,중앙초등학교,0.006391733373532344
충청북도 청주시,증안초등학교,0.015967700624055364
충청북도 청주시,진흥초등학교,0.02214251751900052
충청북도 청주시,창신초등학교,0.034061815321796064
충청북도 청주시,청남초등학교,0.008089984886734588
충청북도 청주시,풍광초등학교,0.004521668996925989
충청북도 청주시,한벌초등학교,0.05421303372522884
충청북도 청주시,한솔초등학교,0.02957133889337279
충청북도 청주시,흥덕초등학교,0.042495282726003995
충청북도 충주시,가흥초등학교,-0.027777777777777776
충청북도 충주시,금가초등학교,0.0418102362273134
충청북도 충주시,노은초등학교,0.09789067142008319
충청북도 충주시,단월초등학교,-0.0346907134947002
충청북도 충주시,달천초등학교,0.0349802371541502
충청북도 충주시,달천초등학교매현분교장,0.08964878857351977
충청북도 충주시,대미초등학교,-0.043076441102756886
충청북도 충주시,덕신초등학교,0.047853014670938665
충청북도 충주시,동량초등학교,-0.03718216649251132
충청북도 충주시,목행초등학교,0.02443186580078906
충청북도 충주시,산척초등학교,0.06371406371406373
충청북도 충주시,세성초등학교,-0.034492753623188405
충청북도 충주시,소태초등학교,0.06277056277056277
충청북도 충주시,수안보초등학교,0.06613756613756613
충청북도 충주시,수회초등학교,0.052270011947431305
충청북도 충주시,앙성초등학교,0.03088041136821625
충청북도 충주시,엄정초등학교,0.03779972982100641
충청북도 충주시,연수초등학교,0.007855344706408536
충청북도 충주시,오석초등학교,-0.004915514592933948
충청북도 충주시,충주용산초등학교,-0.005292274052108549
충청북도 충주시,용원초등학교,-0.03604288499025341
충청북도 충주시,주덕초등학교,0.03525222432868907
충청북도 충주시,충주교현초등학교,-0.01294881547219529
충청북도 충주시,충주남산초등학교,-0.023636695801088518
충청북도 충주시,충주대림초등학교,-0.017370296965099872
충청북도 충주시,충주삼원초등학교,0.015733472876330017
충청북도 충주시,충주성남초등학교,0.0013559542519751937
충청북도 충주시,충주예성초등학교,0.008851063829787233
충청북도 충주시,충주중앙초등학교,0.02100745884131608
충청북도 충주시,칠금초등학교,0.032160387307065476
충청북도 충주시,탄금초등학교,0.00310861845668213
충청북도 영동군,초강초등학교,-0.013015873015873014
충청북도 제천시,장락초등학교,0.0034280171842879675
충청북도 청주시,죽림초등학교,0.04293074450192672
충청북도 청주시,산성초등학교,0.0015019212319779013
충청북도 청주시,주중초등학교,0.010544693766298824
충청북도 청주시,사천초등학교,0.019283647992489255
충청북도 청주시,서경초등학교,0.05029147762286958
충청북도 청주시,봉덕초등학교,0.008692744632493157
충청북도 청주시,용성초등학교,0.021844142916949666
충청북도 제천시,내토초등학교,0.028236724087346496
충청북도 충주시,충주금릉초등학교,0.01725830821608423
충청북도 청주시,산남초등학교,-0.015269899433791853
충청북도 청주시,샛별초등학교,0.006351187935694978
충청북도 청주시,비봉초등학교,0.009433478753726663
충청북도 옥천군,장야초등학교,-0.01405791392394143
충청북도 청주시,성화초등학교,0.025900899367981428
충청북도 충주시,국원초등학교,0.0014650563758826568
충청북도 청주시,서현초등학교,-0.009172902690014266
충청북도 청주시,직지초등학교,0.008323013673468022
충청북도 청주시,솔밭초등학교,-0.007962174600141207
충청북도 음성군,동성초등학교,-0.0011192123326126606
충청북도 청주시,양청초등학교,0.03106219545743719
충청북도 청주시,창리초등학교,0.04279566531681753
충청북도 청주시,청주소로초등학교,0.04225998939284755
충청북도 청주시,청주내곡초등학교,0.014767937942666823
충청북도 진천군,진천상신초등학교,-0.0014733059926133475
충청북도 청주시,단재초등학교,0.003541794032677623
충청북도 충주시,충주중앙탑초등학교,-0.02117365826722552
충청북도 청주시,생명초등학교,-0.015515026069424821
충청북도 충주시,충주대소원초등학교,-0.05389572599483961
충청북도 충주시,충주남한강초등학교,-0.02218045018545964
충청북도 청주시,용아초등학교,-0.09903502237192931
충청북도 충주시,용원초등학교동락분교장,0.16666666666666666
충청북도 단양군,영춘초등학교별방분교장,0.12222222222222223
충청북도 보은군,판동초등학교송죽분교장,0.047619047619047616
