,목록키,목록명,목록설명,조회수,분류체계,기관코드,기관명,국가중점여부,목록 수정일,목록 URL,다운로드_활용신청건수,키워드,데이터 확장자,관리 부서명
13408,15137541,동북아역사재단_동북아역사넷 공지사항 정보,동북아역사재단 역사자료 디지털플랫폼인 동북아역사넷의 아이템 정보에 대한 데이터입니다. 공지사항 제목과 공지사항 등록일 정보를 포함하고 있습니다.,1449,일반공공행정 - 일반행정,B551961,동북아역사재단,N,2024-09-20,https://www.data.go.kr/data/15137541/fileData.do,21.0,"동북아역사넷,공지사항,공지등록",csv,교육홍보실
12986,15136875,한국사학진흥재단_대학재정알리미 법정부담금,한국사학진흥재단 대학재정알리미 시스템에서 제공하는 법정부담금 목록입니다. <br/>※ 부담율(%) = 소계(B)/소계(A)*100,96,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-23,https://www.data.go.kr/data/15136875/fileData.do,23.0,"법정부담금,부담비율,사립대학교",csv,대학정보화지원부
12985,15136874,한국사학진흥재단_대학재정알리미 인실별 기숙사비 현황,"한국사학진흥재단 대학재정알리미 시스템에서 제공하는 인실별 기숙사비 현황입니다. 해당 데이터는 직영, 민자, 임차 기숙사비 데이터 등을 제공합니다.",119,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-23,https://www.data.go.kr/data/15136874/fileData.do,23.0,"인실별 기숙사비,사립대학교,기숙사비",csv,대학정보화지원부
15396,15136085,한국사학진흥재단_상환계획목록,"한국사학진흥재단에서 제공하는 상환계획목록(지원연도, 지원학교수, 연간지급액, 상환액, 융자잔액 등) 데이터입니다.",65,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-10,https://www.data.go.kr/data/15136085/fileData.do,13.0,"융자,상환,학교지원",csv,대학정보화지원부
12984,15136873,한국사학진흥재단_대학재정알리미 이월금,"한국사학진흥재단 대학재정알리미 시스템에서 제공하는 이월금 목록입니다. 해당 데이터는 명시이월금, 사고이월금, 기타이월금 등을 제공합니다.",85,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-23,https://www.data.go.kr/data/15136873/fileData.do,22.0,"이월금,사립대학교,대학교",csv,대학정보화지원부
12983,15136872,한국사학진흥재단_대학재정알리미 수익용기본재산 확보현황,"한국사학진흥재단 대학재정알리미 시스템에서 제공하는 수익용기본재산 확보현황입니다. 해당 데이터는 운영수익 총계, 수입, 기준액, 보유액 등을 제공합니다.<br/>※ 수익용 기본재산 확보율(%) = (보유액 / 기준액)*100<br/>※ 부담률(%) = (소득액/부담액)*100",159,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-23,https://www.data.go.kr/data/15136872/fileData.do,34.0,"수익용기본재산,사립대학교,기본재산",csv,대학정보화지원부
12982,15136870,한국사학진흥재단_대학재정알리미 대학재정통계지표 공시용 현황,"한국사학진흥재단 대학재정알리미 시스템에서 제공하는 대학재정통계지표입니다. 해당 데이터는 법인회계(해당학교, 학급평균, 지역평균 등), 교비회계(해당학교, 지역평균 등) 등 데이터를 제공합니다.",163,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-23,https://www.data.go.kr/data/15136870/fileData.do,24.0,"대학재정통계지표,사립대학교,지표",csv,대학정보화지원부
12981,15136868,한국사학진흥재단_대학재정알리미 기숙사비 납부제도,"한국사학진흥재단 대학재정알리미 시스템에서 제공하는 기숙사비 납부제도 목록입니다. 해당 데이터는 학교명, 설립구분명, 기숙사형태명, 카드납부 실시여부, 현금분할납부 분할횟수 등을 제공합니다.",109,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-23,https://www.data.go.kr/data/15136868/fileData.do,15.0,"기숙사비,사립대학교,대학교",csv,대학정보화지원부
12313,15136869,한국사학진흥재단_대학재정알리미 기숙사비 의존율,"한국사학진흥재단 대학재정알리미 시스템에서 제공하는 기숙사비 의존율 목록입니다. 해당 데이터는 지역구분명, 기숙사비, 기숙사운영수익, 기숙사비의존율 등을 제공합니다.",107,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-25,https://www.data.go.kr/data/15136869/fileData.do,23.0,"기숙사비,기숙사,사립대학교",csv,대학정보화지원부
8884,15042197,울산과학기술원_수의계약 현황,"울산과학기술원 수의 계약 현황(계약명, 계약일, 종료일, 계약 금액, 상호, 수의 계약 근거)<br/>* 정확하게 수의 계약으로 분류를 할 수 없어 가장 가까운 것으로 분류함 *",2607,일반공공행정 - 일반행정,B553562,울산과학기술원,N,2024-10-24,https://www.data.go.kr/data/15042197/fileData.do,2112.0,"경제,경영,계약",csv,정보전략팀
16241,15118475,한국연구재단_학술지 종수 정보,"한국연구재단이 보유하고 있는 ""온라인논문투고심사시스템(JAMS) 학술지 정보 "" 테이블 정보입니다.  기관구분, 기관명, 학술지명, 학술지 약어, 학회별 논문수 등의 정보가 있습니다",868,일반공공행정 - 일반행정,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15118475/fileData.do,225.0,"논문,투고심사,학술지 정보",csv,정보기획팀
