시도교육청코드,시도교육청명,행정표준코드,학교명,학년도,학기,시간표일자,학년,학급명,교시,수업내용,수정일자
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,7,6,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,1,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,1,2,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,1,3,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,1,4,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,1,5,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,1,6,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,3,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,3,2,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,3,3,실과,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,3,4,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,3,5,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,3,6,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,4,1,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,4,2,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,4,3,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,4,4,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,4,5,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,4,6,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,6,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,6,2,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,6,3,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,6,4,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,6,5,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,6,6,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,7,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,7,2,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,7,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,7,4,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,7,5,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,7,6,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,8,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,8,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,8,3,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,8,4,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,8,5,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,8,6,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,9,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,9,2,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,9,3,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,9,4,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,9,5,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,6,9,6,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,2,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,2,2,안전한 생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,2,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,2,5,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,5,1,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,5,2,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,5,3,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,5,4,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,7,1,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,7,2,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,7,3,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,1,7,4,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,1,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,1,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,1,3,바른생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,1,4,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,1,5,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,10,1,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,10,2,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,10,3,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,10,4,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,10,5,슬기로운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,2,1,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,2,2,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,2,3,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,2,4,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,2,5,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,6,1,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,6,2,슬기로운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,6,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,6,4,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,6,5,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,9,1,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,9,2,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,9,3,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,9,4,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,2,9,5,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,1,1,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,1,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,1,3,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,1,4,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,1,5,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,2,1,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,2,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,2,3,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,2,4,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,2,5,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,3,1,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,3,2,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,3,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,3,4,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,3,5,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,4,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,4,2,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,4,3,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,4,4,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,4,5,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,6,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,6,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,6,3,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,6,4,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,6,5,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,7,1,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,7,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,7,3,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,7,4,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,7,5,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,9,1,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,9,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,9,3,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,9,4,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,3,9,5,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,1,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,1,2,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,1,3,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,1,4,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,1,5,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,3,1,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,3,2,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,3,3,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,3,4,사회,20230312
