,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025)
52,충청북도 영동군,초강초등학교,0.07648148148148148,-0.013015873015873014,-3.14,1.0
53,충청북도 영동군,추풍령초등학교,0.014451838408281237,-0.05329153605015674,-3.14,0.0
54,충청북도 영동군,학산초등학교,0.12169117647058823,0.021536855482933912,-3.14,0.0
55,충청북도 영동군,황간초등학교,0.09296360820751065,-0.014084422108128514,-3.14,0.0
56,충청북도 옥천군,군남초등학교,0.07486924352595993,-0.014654292639367269,-2.76,2.0
57,충청북도 옥천군,군서초등학교,0.09018759018759019,0.08754208754208755,-2.76,0.0
58,충청북도 옥천군,동이초등학교,-0.04969191015702643,-0.05117604187371629,-2.76,0.0
59,충청북도 옥천군,동이초등학교우산분교장,-0.10952380952380951,-0.016666666666666666,-2.76,0.0
60,충청북도 옥천군,삼양초등학교,0.008202774620820358,0.009244458935168884,-2.76,3.0
61,충청북도 옥천군,안남초등학교,0.06741702741702742,0.08507575757575757,-2.76,0.0
62,충청북도 옥천군,안내초등학교,0.03812636165577342,-0.007965686274509803,-2.76,0.0
63,충청북도 옥천군,이원초등학교,0.11244249021796231,0.0662705925001007,-2.76,0.0
64,충청북도 옥천군,장야초등학교,0.06672795074824983,-0.01405791392394143,-2.76,3.0
65,충청북도 옥천군,죽향초등학교,0.07578272240823675,0.020468347025040582,-2.76,2.0
66,충청북도 옥천군,증약초등학교,0.1282211383646317,0.03592940788388587,-2.76,0.0
67,충청북도 옥천군,증약초등학교대정분교장,-0.007936507936507936,0.0,-2.76,0.0
68,충청북도 옥천군,청산초등학교,0.25388744307091743,-0.04242424242424242,-2.76,0.0
69,충청북도 옥천군,청성초등학교,-0.08288770053475936,-0.1263475087004499,-2.76,0.0
70,충청북도 음성군,감곡초등학교,-0.02607365827717882,0.013798253565745261,-4.28,0.0
71,충청북도 음성군,남신초등학교,0.042357845698362935,0.02345508505061925,-4.28,2.0
72,충청북도 음성군,능산초등학교,,0.10526315789473684,-4.28,
73,충청북도 음성군,대소초등학교,0.00863089771635891,0.008323048640937226,-4.28,0.0
74,충청북도 음성군,동성초등학교,-0.031093174376895582,-0.0011192123326126606,-4.28,3.0
75,충청북도 음성군,맹동초등학교,0.007174688057040998,0.03409090909090909,-4.28,1.0
76,충청북도 음성군,무극초등학교,0.040615339318915,-0.004799052646813368,-4.28,1.0
77,충청북도 음성군,부윤초등학교,0.09337010580651056,0.07942532581150041,-4.28,0.0
78,충청북도 음성군,삼성초등학교,0.05351907872778719,0.0060989820537886786,-4.28,0.0
79,충청북도 음성군,생극초등학교,0.04321591237709659,0.036405636405636405,-4.28,0.0
80,충청북도 음성군,소이초등학교,0.1259259259259259,-0.026080246913580244,-4.28,0.0
81,충청북도 음성군,수봉초등학교,0.0987169868180594,0.025454900628880558,-4.28,2.0
82,충청북도 음성군,쌍봉초등학교,-0.0007351843558740107,0.012434691745036572,-4.28,0.0
83,충청북도 음성군,오갑초등학교,-0.033351370851370854,-0.04204877724614567,-4.28,0.0
84,충청북도 음성군,오선초등학교,0.11494443654068069,0.03822808584713346,-4.28,0.0
85,충청북도 음성군,용천초등학교,0.09167204878948652,0.0255558904014961,-4.28,1.0
86,충청북도 음성군,원남초등학교,-0.0256713182284295,0.023479996235965837,-4.28,0.0
87,충청북도 음성군,원당초등학교,0.18987720874513325,0.057093638488987325,-4.28,0.0
88,충청북도 음성군,청룡초등학교,0.148897885739991,0.09548229548229548,-4.28,0.0
89,충청북도 음성군,평곡초등학교,-0.1243156358689093,-0.05470494417862839,-4.28,2.0
90,충청북도 음성군,하당초등학교,0.07118796317089603,0.00028264556246466896,-4.28,0.0
91,충청북도 제천시,금성초등학교,0.12565308254963428,0.010101010101010102,-4.02,0.0
92,충청북도 제천시,남당초등학교,0.06251346282991853,0.012320974820974823,-4.02,8.0
93,충청북도 제천시,남천초등학교,0.043720857191176826,-0.03348400894332653,-4.02,11.0
94,충청북도 제천시,내토초등학교,0.11563362195426868,0.028236724087346496,-4.02,8.0
95,충청북도 제천시,동명초등학교,-0.007840272745421796,0.006372431959301769,-4.02,6.0
96,충청북도 제천시,두학초등학교,0.06042224204579245,0.005555555555555554,-4.02,3.0
97,충청북도 제천시,명지초등학교,-0.024902156928408515,0.01186498148760952,-4.02,5.0
98,충청북도 제천시,백운초등학교,0.0767195767195767,0.00834736251402918,-4.02,0.0
99,충청북도 제천시,봉양초등학교,0.0775893378607224,0.022429830520398448,-4.02,0.0
100,충청북도 제천시,송학초등학교,-0.2754309609148319,-0.017207370277545715,-4.02,0.0
101,충청북도 제천시,수산초등학교,0.26746031746031745,0.07474747474747474,-4.02,0.0
102,충청북도 제천시,신백초등학교,0.08393041298720812,0.003504227898945434,-4.02,7.0
103,충청북도 제천시,왕미초등학교,-0.029524020523166734,0.01903027416335401,-4.02,0.0
104,충청북도 제천시,용두초등학교,0.05010400479150479,0.01105416653361859,-4.02,6.0
105,충청북도 제천시,의림초등학교,0.09535890077102227,0.006251052076052382,-4.02,9.0
106,충청북도 제천시,장락초등학교,0.02483182543624451,0.0034280171842879675,-4.02,5.0
107,충청북도 제천시,제천덕산초등학교,0.08568033273915626,0.034080298786181136,-4.02,0.0
108,충청북도 제천시,제천중앙초등학교,0.06013017833158634,0.014934092352422858,-4.02,6.0
109,충청북도 제천시,청풍초등학교,-0.11700854700854701,-0.02457264957264958,-4.02,0.0
110,충청북도 제천시,한송초등학교,-0.19444444444444442,-0.06666666666666667,-4.02,0.0
