,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),SCR(2025)
209,충청북도 청주시,주성초등학교,-0.05520421607378129,-0.02062672885875029,-6.0,12.0,-5.945096327390154
222,충청북도 청주시,청주내덕초등학교,-0.03808684504936893,-0.0017020360320005104,-6.0,12.0,-5.938849687335516
138,충청북도 청주시,강서초등학교,-0.0080275731887884,0.014517037435454393,-6.0,12.0,-5.930805968233538
204,충청북도 청주시,운동초등학교,-1.6684522193570686,-0.2317193590997789,-6.0,11.0,-5.927982888844018
173,충청북도 청주시,산남초등학교,0.04587988219719349,-0.015269899433791853,-6.0,12.0,-5.926504809723967
213,충청북도 청주시,증안초등학교,0.06812712449677431,0.015967700624055364,-6.0,12.0,-5.917244038135827
203,충청북도 청주시,우암초등학교,0.0752362561702294,0.010946261060555483,-6.0,12.0,-5.9168648148616185
200,충청북도 청주시,용성초등학교,0.17566171456100507,0.021844142916949666,-6.0,12.0,-5.897435566322519
255,충청북도 충주시,충주교현초등학교,0.05090128876984885,-0.01294881547219529,-4.48,13.0,-5.777588905679513
172,충청북도 청주시,사천초등학교,0.0044545603650800545,0.019283647992489255,-6.0,11.0,-5.592381329467913
214,충청북도 청주시,직지초등학교,0.0249338870823942,0.008323013673468022,-6.0,11.0,-5.590686219274312
211,충청북도 청주시,죽림초등학교,0.08691539070706196,0.04293074450192672,-6.0,11.0,-5.573900028089819
198,충청북도 청주시,용담초등학교,0.1147325016548314,0.021406264485429132,-6.0,11.0,-5.572738823601699
263,충청북도 충주시,충주예성초등학교,0.06302046140050542,0.008851063829787233,-4.48,12.0,-5.436298591081842
261,충청북도 충주시,충주삼원초등학교,0.06616045412502748,0.015733472876330017,-4.48,12.0,-5.434566161756577
201,충청북도 청주시,용아초등학교,-0.28055291994567544,-0.09903502237192931,-6.0,10.0,-5.327126668006533
150,충청북도 청주시,단재초등학교,-0.08632543516601487,0.003541794032677623,-6.0,10.0,-5.275534495490367
154,충청북도 청주시,동주초등학교,0.0219629147576669,-0.010552976921503148,-6.0,10.0,-5.259028607980996
153,충청북도 청주시,덕성초등학교,0.0442617316111292,-0.029168871869908575,-6.0,10.0,-5.2583318721012215
208,충청북도 청주시,율량초등학교,0.03738367744231219,-0.002313274729657372,-6.0,10.0,-5.254915992369121
178,충청북도 청주시,샛별초등학교,0.06919538109355626,0.006351187935694978,-6.0,10.0,-5.247865061693156
165,충청북도 청주시,봉정초등학교,0.09791948859586334,0.02601984720243911,-6.0,10.0,-5.23946153260991
210,충청북도 청주시,주중초등학교,0.04107594392939829,0.010544693766298824,-6.0,9.0,-4.9166364650242365
177,충청북도 청주시,새터초등학교,0.06795362621280567,0.018328870655479997,-6.0,9.0,-4.910599420084844
233,충청북도 충주시,국원초등학교,0.019225524675514975,0.0014650563758826568,-4.48,10.0,-4.774378500875146
265,충청북도 충주시,충주중앙초등학교,0.014601655448332829,0.02100745884131608,-4.48,10.0,-4.77182618389461
93,충청북도 제천시,남천초등학교,0.043720857191176826,-0.03348400894332653,-4.02,10.0,-4.6299167287562755
174,충청북도 청주시,산성초등학교,0.016224512391773225,0.0015019212319779013,-6.0,8.0,-4.587112769424301
163,충청북도 청주시,봉덕초등학교,0.0482566591771535,0.008692744632493157,-6.0,8.0,-4.580276717708232
175,충청북도 청주시,상당초등학교,0.15825099506208112,0.03767521525301563,-6.0,8.0,-4.5560648362246745
256,충청북도 충주시,충주금릉초등학교,0.02375584823466048,0.01725830821608423,-4.48,9.0,-4.435447708555936
259,충청북도 충주시,충주대림초등학교,0.06042527285205109,-0.017370296965099872,-4.48,9.0,-4.43499249649058
262,충청북도 충주시,충주성남초등학교,0.08289944612850714,0.0013559542519751937,-4.48,9.0,-4.427843568375454
267,충청북도 충주시,칠금초등학교,0.10744657797817447,0.032160387307065476,-4.48,9.0,-4.418255246715976
