,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025)
77,충청북도 음성군,부윤초등학교,0.8510742700532321,0.8902808261567295,0.5529953917050692,0.0,0.02928416485900217
78,충청북도 음성군,삼성초등학교,0.834169464877631,0.8466662188932425,0.5529953917050692,0.0,0.07917570498915402
79,충청북도 음성군,생극초등학교,0.829798861843833,0.864692657404805,0.5529953917050692,0.0,0.06670281995661606
80,충청북도 음성군,소이초등학교,0.8648844485302749,0.8275259704977806,0.5529953917050692,0.0,0.024945770065075923
81,충청북도 음성군,수봉초등학교,0.8533424169097434,0.8581791451297682,0.5529953917050692,0.33636363636363636,0.1193058568329718
82,충청북도 음성군,쌍봉초등학교,0.8111548071734943,0.8504347074849048,0.5529953917050692,0.0,0.02982646420824295
83,충청북도 음성군,오갑초등학교,0.7973190212804923,0.8180278673149574,0.5529953917050692,0.16818181818181818,0.017895878524945768
84,충청북도 음성군,오선초등학교,0.86022610087392,0.8657766527682054,0.5529953917050692,0.16818181818181818,0.02982646420824295
85,충청북도 음성군,용천초등학교,0.8503539542883926,0.858239213981487,0.5529953917050692,0.33636363636363636,0.2527114967462039
86,충청북도 음성군,원남초등학교,0.8005768995046272,0.8570044693575175,0.5529953917050692,0.0,0.034164859002169194
87,충청북도 음성군,원당초등학교,0.8920125818818406,0.8769979086922955,0.5529953917050692,0.0,0.027657266811279824
88,충청북도 음성군,청룡초등학교,0.874629153588726,0.899831533176126,0.5529953917050692,0.0,0.022234273318872018
89,충청북도 음성군,평곡초등학교,0.7587319812269063,0.8104999623092844,0.5529953917050692,0.33636363636363636,0.022776572668112796
90,충청북도 음성군,하당초등학교,0.8416646054317483,0.8432066541750071,0.5529953917050692,0.16818181818181818,0.03091106290672451
91,충청북도 제천시,금성초등학교,0.8647687083735519,0.8490466305242078,0.49308755760368655,0.0,0.014642082429501086
92,충청북도 제천시,남당초등학교,0.8379848824983788,0.8503670685064968,0.49308755760368655,0.5849802371541502,0.07537960954446855
93,충청북도 제천시,남천초등학교,0.8300130594274887,0.8231222029477896,0.49308755760368655,0.5849802371541502,0.07158351409978309
94,충청북도 제천시,내토초등학교,0.8605184533175235,0.8598337774406093,0.49308755760368655,0.2924901185770751,0.12635574837310196
95,충청북도 제천시,동명초등학교,0.8081408287697894,0.8468288672624916,0.49308755760368655,0.2924901185770751,0.39913232104121477
96,충청북도 제천시,두학초등학교,0.8370977866685778,0.8463429880858354,0.49308755760368655,0.0,0.028741865509761388
97,충청북도 제천시,명지초등학교,0.8009031777182296,0.8500958430624025,0.49308755760368655,0.14624505928853754,0.46203904555314534
98,충청북도 제천시,백운초등학교,0.8440111158281413,0.8480035585958234,0.49308755760368655,0.0,0.0254880694143167
99,충청북도 제천시,봉양초등학교,0.8443800684930584,0.8563798293864125,0.49308755760368655,0.0,0.03579175704989154
100,충청북도 제천시,송학초등학교,0.694628862280874,0.8328035693789784,0.49308755760368655,0.0,0.02928416485900217
101,충청북도 제천시,수산초등학교,0.9249233356036162,0.8874984340921708,0.49308755760368655,0.0,0.007592190889370933
102,충청북도 제천시,신백초등학교,0.8470699524803728,0.8451228556542035,0.49308755760368655,0.4387351778656126,0.1415401301518438
103,충청북도 제천시,왕미초등학교,0.7989425832406206,0.8543577687219329,0.49308755760368655,0.0,0.1420824295010846
104,충청북도 제천시,용두초등학교,0.8327207905576672,0.8496135692441616,0.49308755760368655,0.2924901185770751,0.12093275488069415
105,충청북도 제천시,의림초등학교,0.8519179168516665,0.8467566703457177,0.49308755760368655,0.4387351778656126,0.2700650759219089
106,충청북도 제천시,장락초등학교,0.8220003323993474,0.8450775254192741,0.49308755760368655,0.2924901185770751,0.5162689804772235
107,충청북도 제천시,제천덕산초등학교,0.8478122684167019,0.8633095434810744,0.49308755760368655,0.0,0.02386117136659436
108,충청북도 제천시,제천중앙초등학교,0.836973893244758,0.851921354306482,0.49308755760368655,0.2924901185770751,0.13828633405639912
109,충청북도 제천시,청풍초등학교,0.7618316482277395,0.8284226914109826,0.49308755760368655,0.0,0.014099783080260305
110,충청북도 제천시,한송초등학교,0.7289833415287491,0.8033851137872519,0.49308755760368655,0.0,0.005965292841648591
111,충청북도 제천시,홍광초등학교,0.8088670877334165,0.8433817448981689,0.49308755760368655,0.2924901185770751,0.3584598698481562
112,충청북도 제천시,화당초등학교,0.8276834746509347,0.8758230193492237,0.49308755760368655,0.0,0.028741865509761388
113,충청북도 제천시,화산초등학교,0.8297116294079062,0.8523946958511823,0.49308755760368655,0.4387351778656126,0.14533622559652928
114,충청북도 증평군,도안초등학교,0.7308631392943687,0.8398266217131188,1.0,0.0,0.05856832971800434
115,충청북도 증평군,삼보초등학교,0.8266214519303238,0.8534520810108148,1.0,0.8409090909090908,0.3432754880694143
116,충청북도 증평군,죽리초등학교,0.8036201636787738,0.9594915080662602,1.0,0.0,0.049891540130151846
117,충청북도 증평군,증평초등학교,0.824352282701379,0.8423611380044265,1.0,0.8409090909090908,0.6409978308026031
118,충청북도 진천군,구정초등학교,0.8425375328401,0.8678534389188918,0.9769585253456223,0.0,0.03253796095444685
119,충청북도 진천군,금구초등학교,0.8411341107483049,0.9108011321471594,0.9769585253456223,0.22424242424242422,0.026572668112798264
120,충청북도 진천군,만승초등학교,0.823598844304051,0.8446990272951244,0.9769585253456223,0.0,0.3345986984815619
121,충청북도 진천군,문백초등학교,0.8087820486012522,0.8560396583247339,0.9769585253456223,0.0,0.03091106290672451
122,충청북도 진천군,문상초등학교,0.8403034776568138,0.8599186097926147,0.9769585253456223,0.0,0.0596529284164859
123,충청북도 진천군,백곡초등학교,0.8324760267376724,0.8654256949243544,0.9769585253456223,0.0,0.020607375271149673
124,충청북도 진천군,성암초등학교,0.8477890315179016,0.8806650210719315,0.9769585253456223,0.0,0.022776572668112796
125,충청북도 진천군,옥동초등학교,0.795776509665056,0.831698090744899,0.9769585253456223,0.44848484848484843,0.740238611713666
126,충청북도 진천군,이월초등학교,0.8596165949994722,0.8638730744883115,0.9769585253456223,0.22424242424242422,0.061279826464208244
127,충청북도 진천군,진천삼수초등학교,0.8201354619124143,0.8418915815047604,0.9769585253456223,0.22424242424242422,0.4078091106290673
128,충청북도 진천군,진천상산초등학교,0.8361809105074812,0.8471203909985993,0.9769585253456223,0.22424242424242422,0.4040130151843818
129,충청북도 진천군,진천상신초등학교,0.7526907428351555,0.8421622118433193,0.9769585253456223,0.44848484848484843,0.5797180043383948
130,충청북도 진천군,초평초등학교,0.7504786286966801,0.8525039992514571,0.9769585253456223,0.0,0.045010845986984814
131,충청북도 진천군,학성초등학교,0.8359740245679111,0.8746604221765537,0.9769585253456223,0.0,0.0368763557483731
132,충청북도 진천군,한천초등학교,0.8343610240071173,0.8578077930072645,0.9769585253456223,0.44848484848484843,0.09761388286334058
133,충청북도 청주시,가경초등학교,0.763585127858172,0.7880800388677601,0.9493087557603688,0.13590449954086317,0.1556399132321041
134,충청북도 청주시,가덕초등학교,0.8209075972729836,0.8396131897670142,0.9493087557603688,0.0,0.021691973969631236
135,충청북도 청주시,각리초등학교,0.8395110063696946,0.8512689745955632,0.9493087557603688,0.03397612488521579,0.7809110629067245
136,충청북도 청주시,갈원초등학교,0.834613125150548,0.8715036252724577,0.9493087557603688,0.0,0.027114967462039046
137,충청북도 청주시,강내초등학교,0.8091350928875704,0.8402460416794276,0.9493087557603688,0.0,0.03796095444685466
138,충청북도 청주시,강서초등학교,0.808061375924116,0.8516732894844994,0.9493087557603688,0.0,0.47071583514099785
139,충청북도 청주시,개신초등학교,0.8481968661587806,0.8501634841388096,0.9493087557603688,0.10192837465564737,0.45986984815618226
140,충청북도 청주시,경덕초등학교,0.860992029506737,0.8948192252782612,0.9493087557603688,0.13590449954086317,0.26681127982646424
141,충청북도 청주시,경산초등학교,0.8270156075865539,0.8650995590611326,0.9493087557603688,0.13590449954086317,0.2413232104121475
142,충청북도 청주시,교동초등학교,0.8035341039671687,0.8355260214625386,0.9493087557603688,0.06795224977043159,0.46041214750542303
143,충청북도 청주시,금천초등학교,0.8116769756839834,0.8401037740429627,0.9493087557603688,0.03397612488521579,0.5032537960954447
144,충청북도 청주시,남성초등학교,0.834585984548231,0.8402863328849948,0.9493087557603688,0.03397612488521579,0.34056399132321047
145,충청북도 청주시,남이초등학교,0.8496857446504926,0.8709312377575175,0.9493087557603688,0.0,0.04718004338394794
146,충청북도 청주시,남일초등학교,0.8418892194761733,0.8742430532453177,0.9493087557603688,0.0,0.12364425162689806
147,충청북도 청주시,남평초등학교,0.8425293608380692,0.8416745994259793,0.9493087557603688,0.13590449954086317,0.4219088937093276
148,충청북도 청주시,낭성초등학교,0.8155719601950486,0.8358537055780709,0.9493087557603688,0.0,0.030368763557483733
149,충청북도 청주시,내수초등학교,0.8386646901342453,0.8562699346263941,0.9493087557603688,0.0,0.16811279826464207
150,충청북도 청주시,단재초등학교,0.7748474238777507,0.8451452000407523,0.9493087557603688,0.0,0.6209327548806942
151,충청북도 청주시,대길초등학교,0.8064586903168173,0.9045520656050645,0.9493087557603688,0.0,0.014642082429501086
152,충청북도 청주시,덕벌초등학교,0.8053156010081558,0.834601302019964,0.9493087557603688,0.03397612488521579,0.18926247288503253
153,충청북도 청주시,덕성초등학교,0.8302424983494944,0.8256888522459888,0.9493087557603688,0.06795224977043159,0.21420824295010846
