,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025),SCR(2025),폐교위험등급
28,충청북도 보은군,내북초등학교,-0.4565552722059669,-0.4257141581079088,-1.355354270504464,-0.6249001262617193,-0.7786431482863582,0.5469714319743383,정상
98,충청북도 제천시,백운초등학교,0.3371819348277752,0.019730672867461243,-0.3992971650876227,-0.6249001262617193,-0.7135454237280717,0.5455937481288304,정상
246,충청북도 충주시,수안보초등학교,0.23270298159365052,0.5808120975528986,-0.08061146328200819,-0.6249001262617193,-0.7488066911971435,0.5435679392522585,정상
119,충청북도 진천군,금구초등학교,0.30146868869547905,1.0447748760854636,1.0555723431553976,0.338562271394478,-0.7081206133482144,0.5415730672084066,정상
42,충청북도 영동군,구룡초등학교,0.14695547157588856,0.18763375222905157,-1.0089567685418401,-0.6249001262617193,-0.6972709925885,0.5410437293566361,정상
249,충청북도 충주시,엄정초등학교,0.44300036182131197,0.305681840587991,-0.08061146328200819,-0.6249001262617193,-0.7108330185381431,0.5403233703853276,정상
248,충청북도 충주시,앙성초등학교,0.2845432296902248,0.23850261622266022,-0.08061146328200819,-0.6249001262617193,-0.7325322600575719,0.5375829456691688,정상
89,충청북도 음성군,평곡초등학교,-0.7214170733242408,-0.5924401770447341,-0.21917046406705784,0.8202934702225767,-0.7271074496777147,0.5353425392805361,정상
77,충청북도 음성군,부윤초등학교,0.4248592792575539,0.7098221141518408,-0.21917046406705784,-0.6249001262617193,-0.6945585873985715,0.5328685671622504,정상
59,충청북도 옥천군,동이초등학교우산분교장,-0.6435271728632093,-0.2231289512524952,-1.2722188700334345,-0.6249001262617193,-0.7949175794259298,0.5325838572265964,정상
243,충청북도 충주시,산척초등학교,0.15704386377255558,0.5572824661059257,-0.08061146328200819,-0.6249001262617193,-0.746094286007215,0.5324545412212807,정상
237,충청북도 충주시,달천초등학교,0.3003074379367118,0.27830756496309045,-0.08061146328200819,-0.6249001262617193,-0.7189702341079289,0.529303131196515,정상
8,충청북도 괴산군,송면초등학교,-0.36807123352176246,-0.092803331326763,-1.8818784734876524,-0.6249001262617193,-0.7026958029683572,0.5269552177771015,정상
96,충청북도 제천시,두학초등학교,0.25136442007972665,-0.007374803969258534,-0.3992971650876227,-0.6249001262617193,-0.6972709925885,0.5230898230043858,정상
191,충청북도 청주시,신송초등학교,0.4888126298879278,0.3134544150428272,0.9724369426843679,-0.6249001262617193,-0.7406694756273577,0.5155457650719137,정상
6,충청북도 괴산군,보광초등학교,0.027837127625512742,0.31790332722327264,-1.8818784734876524,-0.6249001262617193,-0.6240360524604278,0.5154694082338275,정상
254,충청북도 충주시,주덕초등학교,0.30691718573992083,0.2809482712042479,-0.08061146328200819,-0.6249001262617193,-0.6972709925885,0.5138218697933283,정상
