지역,학교명,S_i(2025)
충청북도 청주시,상봉초등학교,0.010011123470522802
충청북도 청주시,석성초등학교,0.02628384687208217
충청북도 청주시,수성초등학교,0.052745128758521956
충청북도 청주시,수성초등학교구성분교장,0.007936507936507936
충청북도 청주시,신송초등학교,0.10551528574784387
충청북도 청주시,오창초등학교,-0.04076725181598063
충청북도 청주시,옥산초등학교,0.06702866989443158
충청북도 청주시,옥포초등학교,0.15903092006033182
충청북도 청주시,청원초등학교,0.08054550627823086
충청북도 청주시,행정초등학교,-0.0814636752136752
충청북도 청주시,현도초등학교,0.020833333333333332
충청북도 청주시,가경초등학교,-0.11287493153599423
충청북도 청주시,강서초등학교,-0.0080275731887884
충청북도 청주시,개신초등학교,0.08658697525143544
충청북도 청주시,경덕초등학교,0.11675002035958287
충청북도 청주시,경산초등학교,0.03665472816813054
충청북도 청주시,교동초등학교,-0.01870006751658128
충청북도 청주시,금천초등학교,0.0004957645509606571
충청북도 청주시,남성초등학교,0.05450097331334887
충청북도 청주시,남평초등학교,0.07322651911731445
충청북도 청주시,청주내덕초등학교,-0.03808684504936892
충청북도 청주시,청주대성초등학교,-0.029030759920484227
충청북도 청주시,덕벌초등학교,-0.014500404398102608
충청북도 청주시,덕성초등학교,0.0442617316111292
충청북도 청주시,동주초등학교,0.0219629147576669
충청북도 청주시,모충초등학교,-0.0648549390544923
충청북도 청주시,복대초등학교,-1.912934221843929
충청북도 청주시,봉명초등학교,-0.03400993027770254
충청북도 청주시,봉정초등학교,0.09791948859586333
충청북도 청주시,북일초등학교,-0.018759018759018753
충청북도 청주시,분평초등학교,0.04752493208463011
충청북도 청주시,사직초등학교,0.004194281943879864
충청북도 청주시,상당초등학교,0.15825099506208112
충청북도 청주시,새터초등학교,0.06795362621280565
충청북도 청주시,서원초등학교,0.033474919640069115
충청북도 청주시,서촌초등학교,0.0257190155171726
충청북도 청주시,석교초등학교,-0.12458144368858654
충청북도 청주시,수곡초등학교,-0.017685602776202795
충청북도 청주시,용담초등학교,0.1147325016548314
충청북도 청주시,용담초등학교현양원분교장,-0.018518518518518517
충청북도 청주시,용암초등학교,0.11960004066160364
충청북도 청주시,우암초등학교,0.0752362561702294
충청북도 청주시,운동초등학교,-1.6684522193570683
충청북도 청주시,운천초등학교,0.004275898488002959
충청북도 청주시,원봉초등학교,0.07882628744604177
충청북도 청주시,원평초등학교,0.07700685431011726
충청북도 청주시,율량초등학교,0.03738367744231219
