"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","전체학급수","전체학생수","생활안전교육 시간(단위활동차시)-1학기","생활안전교육 시간(단위활동차시)-2학기","생활안전교육 시간(단위활동차시)-합계","교통안전교육 시간(단위활동차시)-1학기","교통안전교육 시간(단위활동차시)-2학기","교통안전교육 시간(단위활동차시)-합계","폭력예방및신변보호교육 시간(단위활동차시)-1학기","폭력예방및신변보호교육 시간(단위활동차시)-2학기","폭력예방및신변보호교육 시간(단위활동차시)-합계","약물중독예방교육 시간(단위활동차시) - 1학기 (2020년 이후)","약물중독예방교육 시간(단위활동차시) - 2학기 (2020년 이후)","약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 1학기 (2023년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 2학기 (2023년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후)","재난안전교육 시간(단위활동차시)-1학기","재난안전교육 시간(단위활동차시)-2학기","재난안전교육 시간(단위활동차시)-합계","직업안전교육 시간(단위활동차시)-1학기","직업안전교육 시간(단위활동차시)-2학기","직업안전교육 시간(단위활동차시)-합계","응급처치교육 시간(단위활동차시)-1학기","응급처치교육 시간(단위활동차시)-2학기","응급처치교육 시간(단위활동차시)-합계"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000588","대구현풍초등학교","02","공립","N","","15","288","13.2","7.2","20.4","4.8","7.1","11.9","7.3","8.8","16.1","3.1","2.4","5.5","2.3","2.4","4.7","2.8","4","6.8","0.8","1.2","2","0.4","2","2.4"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000590","대구화남초등학교","02","공립","N","","18","395","7.7","4.8","12.5","6.5","4.5","11","3.3","4.7","8","2.3","2.2","4.5","2.7","2.8","5.5","2.3","3.8","6.1","1","1","2","1.2","0.8","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000591","대구화원초등학교","02","공립","N","","19","395","8.6","3.5","12.1","6.3","4.7","11","6.3","5.9","12.2","4.2","2.1","6.3","1.5","2.9","4.4","2.5","3.5","6","0.9","1.1","2","0.9","1.1","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S030000658","계성초등학교","02","사립","N","","24","729","6.8","5.2","12","5.8","5.2","11","3.3","4.7","8","5","4.8","9.8","3.5","2.5","6","3","3","6","1.2","0.8","2","1","1","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000659","대구경동초등학교","02","공립","N","","58","1867","4.5","3.5","8","4.5","3.6","8.1","2","1.6","3.6","2","2.5","4.5","1.5","2.3","3.8","1.3","3","4.3","0.5","2","2.5","0.7","1","1.7"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000660","대구고산초등학교","02","공립","N","","32","752","8.5","4.6","13.1","4.4","7.1","11.5","5.3","5.8","11.1","2.7","2.4","5.1","3.1","1.8","4.9","2.3","4.3","6.6","1.6","1.1","2.7","1.3","1.2","2.5"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000661","대구공산초등학교","02","공립","N","","6","103","8.8","4.8","13.6","7.2","4","11.2","4.5","4.3","8.8","2","2.7","4.7","2.5","2.8","5.3","2.7","4","6.7","1","1","2","1.8","0.7","2.5"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S030000662","대구남산초등학교","02","공립","N","","47","1296","7.6","4.5","12.1","6","5","11","6.8","6.1","12.9","3.1","2.3","5.4","3","2.3","5.3","2.3","5","7.3","0.6","1.3","1.9","1.5","1.3","2.8"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000663","대구노변초등학교","02","공립","N","","31","706","13.3","3.5","16.8","5.7","7.3","13","4.3","5.3","9.6","3.5","1","4.5","3.5","3.3","6.8","2.7","5.7","8.4","1.8","1","2.8","1.3","1.2","2.5"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000664","대구대청초등학교","02","공립","N","","51","1229","8","4","12","7","5","12","4","4.3","8.3","3.1","1.9","5","3.1","1.9","5","2.7","4.1","6.8","0.9","1.1","2","0.8","1.6","2.4"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000665","대구덕성초등학교","02","공립","N","","12","194","7.4","4.6","12","5.3","5.7","11","4.7","3.3","8","2.5","2.7","5.2","2.3","2.8","5.1","3.1","3","6.1","1.3","1.3","2.6","1.3","1.2","2.5"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S030000666","대구동덕초등학교","02","공립","N","","13","287","8","4.3","12.3","7","4.5","11.5","6","5","11","3","2","5","4","1","5","4","4","8","1","1","2","2","0","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000667","대구동도초등학교","02","공립","N","","53","1429","8","5.8","13.8","6.6","4.6","11.2","8.3","4.4","12.7","2.4","2.1","4.5","2.3","2","4.3","2.7","3.4","6.1","0.6","1.4","2","2.1","1.4","3.5"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000668","대구동문초등학교","02","공립","N","","9","159","7.6","4.5","12.1","5.2","5.8","11","4.8","3.2","8","3.3","1.7","5","2.3","2.7","5","1.5","4.5","6","1","1","2","1.2","2","3.2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000669","대구동부초등학교","02","공립","N","","12","205","7.9","4.4","12.3","6","5","11","5","3.3","8.3","1.3","1.7","3","3.4","3.6","7","3.5","2.9","6.4","1.4","1.1","2.5","1.2","1.3","2.5"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000670","대구동산초등학교","02","공립","N","","15","332","6.6","4.8","11.4","3.9","7.2","11.1","5.2","4.3","9.5","3.5","4.2","7.7","0.6","1.9","2.5","3","3","6","0.6","1.4","2","1.4","0.8","2.2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000671","대구동성초등학교","02","공립","N","","35","876","7","5","12","7","4","11","5","3","8","2","3","5","3","2","5","3","3","6","1","1","2","1","1","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000672","대구동신초등학교","02","공립","N","","33","677","40","33","73","34","36","70","27","31","58","28","32","60","17","29","46","7","18","25","6","9","15","5","8","13"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000673","대구동원초등학교","02","공립","N","","19","429","8","4","12","5.5","5.5","11","4.1","3.9","8","3","2.4","5.4","2.9","2.5","5.4","2.6","4.2","6.8","1.2","1.4","2.6","1.8","1.5","3.3"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S030000674","대구동인초등학교","02","공립","N","","13","222","6.6","6","12.6","5","5.2","10.2","4.9","2","6.9","2.2","1.6","3.8","3.1","3.5","6.6","4","3.1","7.1","0.8","1.3","2.1","1.1","0.9","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000675","대구동일초등학교","02","공립","N","","23","562","7","5","12","4.8","7.5","12.3","8.3","6.4","14.7","3","2.5","5.5","2","2.5","4.5","2.7","3.2","5.9","1","1","2","0.8","1.3","2.1"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000676","대구동천초등학교","02","공립","N","","56","1716","6.7","6","12.7","5.8","5.6","11.4","4","4.7","8.7","3","3.5","6.5","2","1.5","3.5","2.2","5.3","7.5","0.8","1.2","2","0.6","1.5","2.1"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000677","대구동촌초등학교","02","공립","N","","22","482","7.5","4.5","12","5.5","4.1","9.6","4","4.3","8.3","2.9","1.7","4.6","2.1","3.2","5.3","1.6","4.6","6.2","0.7","1.3","2","1","0.7","1.7"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000678","대구두산초등학교","02","공립","N","","15","287","9.1","3.1","12.2","6.5","4.7","11.2","4.7","3.4","8.1","3.6","1.4","5","3.1","2.4","5.5","2.2","5.6","7.8","0.6","1.5","2.1","0.9","1.1","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000679","대구만촌초등학교","02","공립","N","","14","306","6.6","5.4","12","4.8","6","10.8","4.6","4.4","9","3.1","1.1","4.2","2.3","3.7","6","3.3","2.7","6","0.7","1.3","2","1.5","0.5","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000680","대구매호초등학교","02","공립","N","","25","562","6.9","5.1","12","5.4","5.8","11.2","3.5","4.8","8.3","2.6","2.2","4.8","2.5","3","5.5","2.4","4.4","6.8","1.7","0.5","2.2","1","1","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S030000681","대구명덕초등학교","02","공립","N","","16","326","8.7","5.1","13.8","4","7.5","11.5","5.8","6.2","12","3.5","2.9","6.4","2","2.6","4.6","2","4.3","6.3","1.5","0.8","2.3","1.8","1.2","3"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000682","대구반야월초등학교","02","공립","N","","34","784","7.8","4.5","12.3","6.6","4.6","11.2","4.1","4","8.1","3.1","1.8","4.9","2.6","2.3","4.9","2.6","4.3","6.9","0.8","1.3","2.1","1.1","1","2.1"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000683","대구방촌초등학교","02","공립","N","","16","342","3.2","1.3","4.5","1.9","2.3","4.2","1.8","1.3","3.1","1","0.9","1.9","0.9","1","1.9","1.2","1.1","2.3","0.4","0.3","0.7","0.4","0.4","0.8"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000684","대구범물초등학교","02","공립","N","","10","143","4.4","3.2","7.6","2.8","4.2","7","3.2","2.1","5.3","2.2","1.3","3.5","1.4","1.2","2.6","1.8","1.8","3.6","0.8","0.5","1.3","0.7","0.7","1.4"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000685","대구범어초등학교","02","공립","N","","29","709","7.3","5.6","12.9","5.7","6.1","11.8","4.7","5.1","9.8","2.9","3.3","6.2","2.7","2.7","5.4","3.6","4.2","7.8","1.3","1.6","2.9","1.2","1.2","2.4"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000686","대구범일초등학교","02","공립","N","","30","694","7","4.4","11.4","4.1","6.7","10.8","2","3.1","5.1","2","3.1","5.1","2.6","2.9","5.5","2.6","3.2","5.8","1.1","1","2.1","0.5","1","1.5"
